"artist","name","country","lifespan"
"d87e52c5-bb8d-4da8-b941-9f4928627dc8","ABBA","SE","1972-09 1982"
"66c662b6-6e2f-4930-8610-912e24c63ed1","AC/DC","AU","1973-11 undefined"
"3d2b98e5-556f-4451-a3ff-c50ea18d57cb","Aerosmith","US","1970 undefined"
"40419b33-18e9-4d5a-a674-30b4bb14bac2","Alabama Shakes","US","2009 undefined"
"4bd95eea-b9f6-4d70-a36c-cfea77431553","Alice in Chains","US","1987 undefined"
"60a23fda-a440-4ab9-a344-7dfdd2ed341a","Alter Bridge","US","2004 undefined"
"30f50f4e-223d-4eef-938f-5bdfd1043e76","Amor Electro","PT","2011 undefined"
"b616d6f0-ec1f-4c69-8a79-12a97ece7372","Anthrax","US","1981 undefined"
"52074ba6-e495-4ef3-9bb4-0703888a9f68","Arcade Fire","CA","2001 undefined"
"ada7a83c-e3e1-40f1-93f9-3e73dbc9298a","Arctic Monkeys","GB","2002 undefined"
"020bfbb4-05c3-4c86-b372-17825c262094","Audioslave","US","2001 2007-02-15"
"1641141b-3c9c-4772-a5cc-7e23fdf17382","Band of Skulls","GB","2004 undefined"
"892500b7-09a6-4049-ba92-2d192dd70563","Biffy Clyro","GB","1995 undefined"
"9941a936-196a-4a62-ae53-a69cbc33f20e","Black Flag","US","1976 1986"
"32b90c92-9978-4a07-90eb-caa4b22f4907","Black Rebel Motorcycle Club","US","1998 undefined"
"5182c1d9-c7d2-4dad-afa0-ccfeada921a8","Black Sabbath","GB","1969 2017-02-04"
"8c538f11-c141-4588-8ecb-931083524186","Bloc Party","GB","2003 undefined"
"4d2956d1-a3f7-44bb-9a41-67563e1a0c94","Blondie","US","1974 undefined"
"c7423e0c-ab3e-4ab4-be10-cdff5a9d3062","Blue Öyster Cult","US","1967 undefined"
"ba853904-ae25-4ebb-89d6-c44cfbd71bd2","Blur","GB","1990 undefined"
"c296e10c-110a-4103-9e77-47bfebb7fb2e","Bob Marley & The Wailers","JM","1970-12 1981-05-11"
"5dcdb5eb-cb72-4e6e-9e63-b7bace604965","Bon Jovi","US","1983 undefined"
"b41b38d4-ef3e-4f37-8c75-cfe9af999696","Cage the Elephant","US","2007 undefined"
"3f5be744-e867-42fb-8913-5fd69e4099b5","Chicago","US","1967 undefined"
"cbf9738d-8f81-4a92-bc64-ede09341652d","Chris Cornell","US","1964-07-20 2017-05-17"
"cc197bad-dc9c-440d-a5b5-d52ba2e14234","Coldplay","GB","1996-09 undefined"
"04cd0cfd-bfd1-4c36-bc38-95c35e2c045f","Cream","GB","1966-07 1968-11"
"109958eb-a335-4c5e-907e-597ff4c6af46","Creedence Clearwater Revival","US","1959 1972"
"46a782ea-4308-476b-abd1-a91b197f3037","Crosby, Stills, Nash & Young","US","1969 undefined"
"056e4f3e-d505-4dad-8ec1-d04f521cbb56","Daft Punk","FR","1992 undefined"
